pj,lb,jn
14.5,4,1
19,6,1
18,4,1
18,4,1
20.5,5,1
17,4.5,1
15,4,1
17.5,4,1
21,5,1
15,5,1
18,4.8,1
20,4.5,1
17.5,4.2,1
21,4.2,1
18,4,1
16.7,4,1
15,4.7,1
18.8,3.7,1
13,3.4,1
3.4,14.3,1
17.3,5.3,1
15.4,4.1,1
15,3.6,1
10.5,3.2,1
14.7,3.4,1
17,3.7,1
11.8,3.3,1
21,4.7,1
16.5,3.8,1
14,3.7,1
18.5,5,1
13.8,3.5,1
19,25,1
13.5,3.6,1
13.5,3.4,1
14.5,4.2,1
12,3.3,1
13,3.8,1
19.8,4,1
13.4,3.5,1
13.5,3.3,1
3.2,11,1
20,4.2,1
15.5,4.5,1
11,3,1
15.5,3.8,1
16.7,3.8,1
12.7,3.7,1
16,4.3,1
17,4.5,1
16,3.8,1
17.6,4.4,1
15.4,4,1
13.5,3.2,1
20,4.8,1
17.5,5,1
18.2,4,1
23.6,5.6,1
17.5,5.6,1
15.5,3.7,1
24.7,5.5,1
19,4.4,1
18,4.5,1
15,4.6,1
15.7,4.4,1
21,5.2,1
20.5,4.8,1
18,3.6,1
13,4,1
17.3,3.7,1
14.5,3.5,1
13.5,4,1
11,3,1
14,3.5,1
14.5,3.7,1
16,4.5,1
18.5,4.6,1
14.5,4.3,1
18,4.5,1
17.5,4,1
16,4,1
15,4,1
16.5,4.7,1
12.7,3.5,1
13.3,3.7,1
13,3,1
13.5,3.5,1
11,4,1
13.5,4.5,1
14,3.5,1
15,3.7,1
17.8,4.3,1
16,4.5,1
11.2,3,1
13.4,3.3,1
13,3.3,1
15,4,1
12.6,3.5,1
12.5,3.7,1
12,3.8,1
22.5,8.5,2
16.5,5.3,2
21,9,2
27.5,8.5,2
11.5,3.5,2
12.5,7,2
22,7.5,2
28,8,2
21,6.5,2
25,8.5,2
24,7.5,2
12.5,4,2
23.5,6.5,2
23,7,2
27,7.5,2
25.5,7.5,2
23.5,7,2
12,4.3,2
19,5.5,2
20.5,6.5,2
13.5,5,2
21.5,6.5,2
26.5,8,2
11,5,2
18,6,2
20,6,2
19,7,2
22,7.5,2
22,8,2
12.5,4.3,2
25.5,7.5,2
17,6.5,2
19.5,6.7,2
18.5,5.5,2
16,8,2
23,7,2
21.5,9.5,2
15.5,6.5,2
21.5,6,2
31.5,10,2
19.5,7,2
15.5,5.8,2
17,6,2
16,5.5,2
14.7,6,2
29,9.5,2
26.5,9.5,2
19.5,6.7,2
21.5,7.5,2
26.5,9,2
17.5,5.5,2
18,6,2
10.5,3.5,2
11.5,4,2
23,8.7,2
12,4.6,2
13,4.3,2
12,5.3,2
17.5,6,2
11,4.5,2
17,5.5,2
10.5,4,2
12,4.8,2
10.5,3.8,2
12.5,5.7,2
9.5,3.3,2
11.6,4.2,2
17,6,2
20,6,2
14.5,5,2
11.5,4.5,2
11.5,4,2
17.5,6,2
14,4.7,2
19,6.5,2
19.5,6,2
18,5.6,2
26,7.3,2
16.5,5,2
16.5,5.3,2
19.5,6,2
17,5.5,2
15,5,2
22.5,5.5,2
22.5,7.5,2
15.5,5.3,2
17,4.7,2
16.5,5,2
20,7,2
15.5,5.7,2
17,6,2
19.5,5.9,2
17.5,6,2
18.5,6,2
18.5,6,2
20,6.7,2
17,5,2
16,5,2
18.5,5.5,2
20,5.8,2
16,5,3
16.5,5,3
16,5.5,3
14.5,4.1,3
18,5,3
17,5.5,3
13.5,4.5,3
16.5,5.5,3
20,5.7,3
18.5,5.7,3
16.5,5.5,3
18,5.5,3
18.5,6,3
20.5,6.5,3
18,5.5,3
19.5,5.5,3
17.5,4.8,3
16.3,4.5,3
15.6,4.7,3
17,4.5,3
17,5.5,3
16,5.3,3
20.5,6.5,3
16.5,4,3
16.5,5,3
19,6,3
16,4.5,3
16.5,4.5,3
16.5,6,3
18.5,5,3
16,5.5,3
18.5,5.5,3
18,5.5,3
15,5,3
15.5,4.5,3
14.5,5,3
15.5,4.5,3
18,6,3
13,4.5,3
14,5,3
19.5,6,3
19,5.7,3
23,7,3
16,5.5,3
17.7,5.5,3
18,5,3
15.7,5,3
18.5,6.5,3
18,5,3
18.5,5.5,3
18,6,3
15.5,5,3
14.5,4.2,3
14.7,4,3
15,5,3
17.5,5.2,3
12.5,4.7,3
16,4.1,3
16.5,5,3
18.5,5.6,3
18.5,6.5,3
18,5.3,3
19,7.2,3
19,6.5,3
16,7,3
21.4,6,3
19,6.5,3
20,6.6,3
17.5,7,3
14,5.5,3
15,4.3,3
14,4.5,3
15,4,3
18.5,5.8,3
17.5,7,3
14.5,5.4,3
23,4.5,3
16.5,8,3
16.5,6,3
15.5,5.5,3
12,4.5,3
14,4.6,3
15,4.5,3
15,5,3
13.5,4.3,3
16,5,3
16.5,5,3
12.5,4.4,3
16,6,3
18.5,5.5,3
17.5,5,3
18.5,5.5,3
15,6,3
20,7,3
25.5,7.5,3
21,6,3
18.5,6,3
16,7,3
17,5.5,3
22,7,3
